序号,字段代码,字段名称,展示名称,层级,单位代码,单位说明,展示口径,公式,2025三季报,2025半年报,2025一季报,2024年报,2024三季报,2024半年报,2024一季报,2023年报,2023三季报,2023半年报,2023一季报,2022年报,2022三季报,2022半年报,2022一季报,2021年报,2021三季报,2021半年报,2021一季报,2020年报,2019年报,2018年报
1,CF_OPERATE_A,经营活动产生的现金流量,经营活动产生的现金流量,1,3,分组/标题,分组/标题,,,,,,,,,,,,,,,,,,,,,,,
2,CFrSaleGS,销售商品、提供劳务收到的现金,销售商品、提供劳务收到的现金,2,0,金额类,亿元,,3285.44,2111.54,1058.61,4522.15,3520.91,2348.09,1136.72,4448.58,3171.96,2061.07,1037.53,4425.84,3251.85,2005.62,821.8,2616.66,1757.73,1134.96,477.38,1630.79,2291.944017,2268.039745
3,NDeposIncrCFI,客户存款和同业存放款项净增加额,客户存款和同业存放款项净增加额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
4,NIncrBorrFrCB,向中央银行借款净增加额,向中央银行借款净增加额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
5,NIncBorrOthFI,向其他金融机构拆入资金净增加额,向其他金融机构拆入资金净增加额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
6,premFrOrigContr,收到原保险合同保费取得的现金,收到原保险合同保费取得的现金,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
7,NReinsurPrem,收到再保险业务现金净额,收到再保险业务现金净额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
8,NIncPhDeposInv,保户储金及投资款净增加额,保户储金及投资款净增加额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
9,NIncDispTradFA,处置交易性金融资产净增加额,处置交易性金融资产净增加额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
10,IFCCashIncr,收取利息、手续费及佣金的现金,收取利息、手续费及佣金的现金,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
11,NIncFrBorr,拆入资金净增加额,拆入资金净增加额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
12,NCApIncrRepur,回购业务资金净增加额,回购业务资金净增加额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
13,refundOfTax,收到的税费返还,收到的税费返还,2,0,金额类,亿元,,11.0,0.09,,4.51,3.28,1.57,1.26,9.58,8.77,7.73,0.55,36.59,18.51,18.2,1.14,7.43,,,,7.1,6.106041,0.269034
14,CFrOthOperateA,收到其他与经营活动有关的现金,收到其他与经营活动有关的现金,2,0,金额类,亿元,,0.75,0.61,0.37,18.96,3.08,2.54,0.18,7.46,6.1,4.85,1.17,7.93,6.3,2.48,1.22,7.36,4.75,1.16,0.75,3.52,4.875811,3.095728
15,specOCIF,经营活动现金流入的特殊项目,经营活动现金流入的特殊项目,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
16,AOCIF,经营活动现金流入的差错金额,经营活动现金流入的差错金额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
17,CInfFrOperateA,经营活动现金流入小计,经营活动现金流入小计,2,0,金额类,亿元,,3297.19,2112.24,1058.98,4545.62,3527.27,2352.2,1138.16,4465.62,3186.83,2073.65,1039.25,4470.36,3276.66,2026.3,824.16,2631.45,1762.48,1136.12,478.13,1641.41,2302.925869,2271.404507
18,CPaidGS,购买商品、接受劳务支付的现金,购买商品、接受劳务支付的现金,2,0,金额类,亿元,,795.51,494.89,239.4,1161.19,824.17,589.32,267.33,1290.34,827.15,577.57,267.3,1105.34,655.18,428.9,193.85,642.01,369.6,221.6,93.13,360.79,500.861451,531.290529
19,NIncDisburOfLA,客户贷款及垫款净增加额,客户贷款及垫款净增加额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
20,NIncrDeposInFI,存放中央银行和同业款项净增加额,存放中央银行和同业款项净增加额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
21,origContrCIndem,支付原保险合同赔付款项的现金,支付原保险合同赔付款项的现金,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
22,CPaidIFC,支付利息、手续费及佣金的现金,支付利息、手续费及佣金的现金,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
23,CPaidPolDiv,支付保单红利的现金,支付保单红利的现金,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
24,CPaidToForEmpl,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,2,0,金额类,亿元,,78.7,53.52,25.4,126.08,73.64,54.44,24.66,118.33,83.15,56.13,28.62,122.67,77.44,51.34,27.1,101.06,68.05,44.85,25.63,91.6,94.761639,88.150458
25,CPaidForTaxes,支付的各项税费,支付的各项税费,2,0,金额类,亿元,,703.72,470.49,220.54,1047.52,800.07,521.5,245.44,957.37,684.02,443.09,223.61,1185.65,874.34,523.05,208.44,408.49,277.53,227.42,118.45,364.7,471.477693,407.758726
26,CPaidForOthOpA,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,2,0,金额类,亿元,,1.77,1.52,0.9,1.92,1.71,1.4,0.95,2.15,2.06,0.68,0.04,0.96,0.78,0.74,0.61,0.96,0.88,0.66,0.62,0.94,0.640826,0.233892
27,specOCOF,经营活动现金流出的特殊项目,经营活动现金流出的特殊项目,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
28,AOCOF,经营活动现金流出的差错金额,经营活动现金流出的差错金额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
29,COutfOperateA,经营活动现金流出小计,经营活动现金流出小计,2,0,金额类,亿元,,1579.7,1020.42,486.24,2336.71,1699.59,1166.66,538.38,2368.19,1596.38,1077.47,519.57,2414.62,1607.74,1004.03,430.0,1152.52,716.06,494.53,237.83,818.03,1067.741609,1027.433605
30,ANOCF,经营活动现金流量净额的差错金额,经营活动现金流量净额的差错金额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
31,NCFOperateA,经营活动产生的现金流量净额,经营活动产生的现金流量净额,2,0,金额类,亿元,,1717.49,1091.82,572.74,2208.91,1827.68,1185.54,599.78,2097.43,1590.45,996.18,519.68,2055.74,1668.92,1022.27,394.16,1478.93,1046.42,641.59,240.3,823.38,1235.18426,1243.970902
32,CF_FR_INVEST_A,投资活动产生的现金流量,投资活动产生的现金流量,1,3,分组/标题,分组/标题,,,,,,,,,,,,,,,,,,,,,,,
33,procSellInvest,收回投资收到的现金,收回投资收到的现金,2,0,金额类,亿元,,994.2,624.01,186.38,875.6,523.26,348.24,137.9,1578.85,1221.12,839.46,231.17,1779.29,1149.42,796.52,211.22,861.1,630.6,319.17,239.73,1901.42,1979.519357,1295.39512
34,gainInvest,取得投资收益收到的现金,取得投资收益收到的现金,2,0,金额类,亿元,,35.53,24.55,6.92,49.82,41.75,27.09,14.93,85.51,68.58,46.47,15.66,58.52,42.04,22.23,8.78,33.96,13.67,4.78,3.48,54.62,51.485533,38.874843
35,dispFixAssetsOth,处置固定资产、无形资产和其他长期资产收回的现金净额,处置固定资产、无形资产和其他长期资产收回的现金净额,2,0,金额类,亿元,,0.06,0.06,0.06,0.5,0.46,0.42,,0.24,0.04,0.04,0.04,0.93,0.72,0.62,,0.39,0.3,0.3,,0.02,0.644306,5.905558
36,NDispSubsOthBizC,处置子公司及其他营业单位收到的现金净额,处置子公司及其他营业单位收到的现金净额,2,0,金额类,亿元,,75.92,75.92,,,,,,,,,,,,,,,,,,,,
37,CFrOthInvestA,收到其他与投资活动有关的现金,收到其他与投资活动有关的现金,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
38,specCIF,投资活动现金流入的特殊项目,投资活动现金流入的特殊项目,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
39,ACIF,投资活动现金流入的差错金额,投资活动现金流入的差错金额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
40,CInfFrInvestA,投资活动现金流入小计,投资活动现金流入小计,2,0,金额类,亿元,,1105.71,724.54,193.36,925.92,565.47,375.75,152.83,1664.6,1289.74,885.97,246.87,1838.74,1192.18,819.37,220.0,895.45,644.57,324.25,243.21,1956.06,2031.649196,1340.175521
41,purFixAssetsOth,购建固定资产、无形资产和其他长期资产支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,2,0,金额类,亿元,,777.93,522.44,253.11,1233.59,851.07,545.67,285.2,1208.75,808.7,492.26,240.95,947.54,607.54,318.04,152.19,824.37,579.49,312.07,145.43,754.18,720.137415,512.666882
42,CPaidInvest,投资支付的现金,投资支付的现金,2,0,金额类,亿元,,1341.53,939.93,294.33,1446.59,897.57,618.1,206.47,1236.8,1023.87,896.15,435.27,1875.93,1343.77,843.38,280.0,1033.43,730.66,330.87,167.86,1710.38,1986.063241,1782.030444
43,NIncrPledgeLoan,质押贷款净增加额,质押贷款净增加额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
44,NCPaidAcquis,取得子公司及其他营业单位支付的现金净额,取得子公司及其他营业单位支付的现金净额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
45,CPaidOthInvestA,支付其他与投资活动有关的现金,支付其他与投资活动有关的现金,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
46,specCOF,投资活动现金流出的特殊项目,投资活动现金流出的特殊项目,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
47,ACOF,投资活动现金流出的差错金额,投资活动现金流出的差错金额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
48,COutfFrInvestA,投资活动现金流出小计,投资活动现金流出小计,2,0,金额类,亿元,,2119.46,1462.37,547.44,2680.18,1748.64,1163.77,491.67,2445.55,1832.57,1388.41,676.22,2823.47,1951.31,1161.42,432.19,1857.8,1310.15,642.94,313.29,2464.56,2706.200656,2294.697326
49,ANICF,投资活动现金流量净额的差错金额,投资活动现金流量净额的差错金额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
50,NCFFrInvestA,投资活动产生的现金流量净额,投资活动产生的现金流量净额,2,0,金额类,亿元,,-1013.75,-737.83,-354.08,-1754.26,-1183.17,-788.02,-338.84,-780.95,-542.83,-502.44,-429.35,-984.73,-759.13,-342.05,-212.19,-962.35,-665.58,-318.69,-70.08,-508.5,-674.55146,-954.521805
51,CF_FR_FINAN_A,筹资活动产生的现金流量,筹资活动产生的现金流量,1,3,分组/标题,分组/标题,,,,,,,,,,,,,,,,,,,,,,,
52,CFrCapContr,吸收投资收到的现金,吸收投资收到的现金,2,0,金额类,亿元,,1.04,0.33,0.33,1.97,1.97,1.35,0.21,1.11,,,,322.58,322.05,321.61,0.47,8.56,6.15,5.95,5.47,1.83,0.29155,0.275477
53,CFrMinoSSubs,其中:子公司吸收少数股东投资收到的现金,  其中:子公司吸收少数股东投资收到的现金,2,0,金额类,亿元,,1.04,0.33,0.33,1.97,1.97,1.35,0.21,1.11,,,,1.59,1.06,0.62,0.47,8.56,6.15,5.95,5.47,1.83,0.29155,0.1
54,CFrBorr,取得借款收到的现金,取得借款收到的现金,2,0,金额类,亿元,,0.51,0.28,0.09,18.16,17.57,15.75,13.31,1.7,1.07,1.07,0.75,8.5,6.11,0.89,0.47,81.08,49.91,46.94,1.45,74.17,143.102478,128.262988
55,CFrIssueBond,发行债券收到的现金,发行债券收到的现金,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
56,CFrOthFinanA,收到其他与筹资活动有关的现金,收到其他与筹资活动有关的现金,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
57,specFCIF,筹资活动现金流入的特殊项目,筹资活动现金流入的特殊项目,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
58,AFCIF,筹资活动现金流入的差错金额,筹资活动现金流入的差错金额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
59,CInfFrFinanA,筹资活动现金流入小计,筹资活动现金流入小计,2,0,金额类,亿元,,1.55,0.61,0.42,20.13,19.54,17.1,13.52,2.81,1.07,1.07,0.75,331.08,328.16,322.5,0.94,89.64,56.06,52.89,6.92,76.0,143.394028,128.538465
60,CPaidForDebts,偿还债务支付的现金,偿还债务支付的现金,2,0,金额类,亿元,,222.54,207.14,11.6,342.25,336.39,295.0,16.29,211.63,201.51,192.74,9.93,150.26,126.03,115.52,6.74,149.91,111.12,107.01,102.09,144.47,117.240255,111.088076
61,CPaidDivProfInt,分配股利、利润或偿付利息支付的现金,分配股利、利润或偿付利息支付的现金,2,0,金额类,亿元,,310.38,17.98,6.76,650.62,318.09,25.32,8.79,633.46,358.66,26.29,8.17,824.21,513.98,25.7,12.83,273.05,139.66,32.41,9.56,318.51,349.710911,288.53504
62,divProfSubsMinoS,其中:子公司支付给少数股东的股利、利润,  其中:子公司支付给少数股东的股利、利润,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
63,CPaidOthFinanA,支付其他与筹资活动有关的现金,支付其他与筹资活动有关的现金,2,0,金额类,亿元,,,,,,6.61,,,,,,,,3.96,,,,,,,,53.350449,
64,specFCOF,筹资活动现金流出的特殊项目,筹资活动现金流出的特殊项目,2,0,金额类,亿元,,,,,6.61,,,,,,,,6.23,,,,,,,,,,
65,AFCOF,筹资活动现金流出的差错金额,筹资活动现金流出的差错金额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
66,COutfFrFinanA,筹资活动现金流出小计,筹资活动现金流出小计,2,0,金额类,亿元,,532.92,225.12,18.36,999.48,661.09,320.32,25.08,845.09,560.17,219.03,18.1,980.7,643.97,141.22,19.57,422.96,250.78,139.42,111.65,462.98,520.301615,399.623116
67,ANFCF,筹资活动现金流量净额的差错金额,筹资活动现金流量净额的差错金额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
68,NCFFrFinanA,筹资活动产生的现金流量净额,筹资活动产生的现金流量净额,2,0,金额类,亿元,,-531.37,-224.51,-17.94,-979.35,-641.55,-303.22,-11.56,-842.28,-559.1,-217.96,-17.35,-649.62,-315.81,181.28,-18.63,-333.32,-194.72,-86.53,-104.73,-386.98,-376.907587,-271.084651
69,FOREX_EFFECTS,汇率变动对现金及现金等价物的影响,汇率变动对现金及现金等价物的影响,1,3,分组/标题,分组/标题,,,,,,,,,,,,,,,,,,,,,,,
70,forexEffects,汇率变动对现金及现金等价物的影响,汇率变动对现金及现金等价物的影响,2,0,金额类,亿元,,-2.56,-0.95,0.47,3.15,-3.7,0.91,0.3,3.86,6.61,8.54,-3.31,20.62,32.81,19.9,-2.69,-9.13,-3.48,-3.74,7.44,-24.5,3.105935,2.097969
71,othEffectCE,影响现金及现金等价物的特殊项目,影响现金及现金等价物的特殊项目,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
72,ACE,现金及现金等价物的差错金额,现金及现金等价物的差错金额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
73,CASH,现金及现金等价物,现金及现金等价物,1,3,分组/标题,分组/标题,,,,,,,,,,,,,,,,,,,,,,,
74,NChangeInCash,现金及现金等价物净增加额,现金及现金等价物净增加额,2,0,金额类,亿元,,169.81,128.53,201.19,-521.55,-0.74,95.21,249.68,478.06,495.13,284.32,69.67,442.01,626.79,881.4,160.65,174.13,182.64,232.63,72.93,-96.6,186.831148,20.462415
75,NCEBegBal,加:期初现金及现金等价物余额,加:期初现金及现金等价物余额,2,0,金额类,亿元,,812.84,812.84,812.84,1334.39,1334.39,1334.39,1334.39,856.33,856.33,856.33,856.33,414.32,414.32,414.32,414.32,240.19,240.19,240.19,240.19,336.79,149.955386,129.492971
76,othEffectCEI,影响期末现金及现金等价物余额的特殊项目,影响期末现金及现金等价物余额的特殊项目,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
77,ACEI,期末现金及现金等价物余额的差错金额,期末现金及现金等价物余额的差错金额,2,0,金额类,亿元,,,,,,,,,,,,,,,,,,,,,,,
78,NCEEndBal,期末现金及现金等价物余额,期末现金及现金等价物余额,2,0,金额类,亿元,,982.65,941.37,1014.03,812.84,1333.65,1429.6,1584.07,1334.39,1351.46,1140.65,926.0,856.33,1041.11,1295.72,574.97,414.32,422.83,472.82,313.12,240.19,336.786534,149.955386
