来源表,字段代码,字段名称,展示名称,层级,单位代码,单位说明,公式
财务摘要,FDMT_SUMMARY_IS,利润表摘要,利润表摘要,1,3,分组/标题,
财务摘要,tRevenue,营业总收入,营业总收入,2,0,金额类,
财务摘要,revenue,营业收入,营业收入,2,0,金额类,
财务摘要,revenueYOY,营业收入同比(YOY),营业收入同比(YOY),2,1,比例类,
财务摘要,COGS,营业成本,营业成本,2,0,金额类,
财务摘要,operateProfit,营业利润,营业利润,2,0,金额类,
财务摘要,operProfitYOY,营业利润同比(YOY),营业利润同比(YOY),2,1,比例类,
财务摘要,TProfit,利润总额,利润总额,2,0,金额类,
财务摘要,tProfitYOY,利润总额同比(YOY),利润总额同比(YOY),2,1,比例类,
财务摘要,NIncome,净利润,净利润,2,0,金额类,
财务摘要,NIYOY,净利润同比(YOY),净利润同比(YOY),2,1,比例类,
财务摘要,NIncomeAttrP,归属于母公司所有者的净利润,归属于母公司所有者的净利润,2,0,金额类,
财务摘要,niAttrPYOY,归属母公司股东的净利润同比(YOY),归属母公司股东的净利润同比(YOY),2,1,比例类,
财务摘要,nrProfitLoss,非经常性损益,非经常性损益,2,0,金额类,
财务摘要,niAttrPCut,扣非后归属于母公司股东的净利润,扣非后归属于母公司股东的净利润,2,0,金额类,
财务摘要,niAttrPCutYOY,扣非后归属母公司股东的净利润(同比),扣非后归属母公司股东的净利润(同比),2,1,比例类,
财务摘要,EBIT,息税前利润,息税前利润,2,0,金额类,
财务摘要,EBITDA,息税折旧摊销前利润,息税折旧摊销前利润,2,0,金额类,
财务摘要,FDMT_SUMMARY_BS,资产负债表摘要,资产负债表摘要,1,3,分组/标题,
财务摘要,TCA,流动资产,流动资产,2,0,金额类,
财务摘要,fixedAssets,固定资产,固定资产,2,0,金额类,
财务摘要,LTEquityInvest,长期股权投资,长期股权投资,2,0,金额类,
财务摘要,TAssets,资产总计,资产总计,2,0,金额类,
财务摘要,taYOY,资产总计同比(YOY),资产总计同比(YOY),2,1,比例类,
财务摘要,TCL,流动负债,流动负债,2,0,金额类,
财务摘要,TNCL,非流动负债,非流动负债,2,0,金额类,
财务摘要,TLiab,负债合计,负债合计,2,0,金额类,
财务摘要,tlYOY,负债合计同比(YOY),负债合计同比(YOY),2,1,比例类,
财务摘要,TShEquity,股东权益,股东权益,2,0,金额类,
财务摘要,naYOY,股东权益同比(YOY),股东权益同比(YOY),2,1,比例类,
财务摘要,TEquityAttrP,归属母公司股东的权益,归属母公司股东的权益,2,0,金额类,
财务摘要,teAttrPYOY,归属母公司股东的权益同比(YOY),归属母公司股东的权益同比(YOY),2,1,比例类,
财务摘要,capitalReser,资本公积,资本公积,2,0,金额类,
财务摘要,surplusReser,盈余公积,盈余公积,2,0,金额类,
财务摘要,retainedEarnings,未分配利润,未分配利润,2,0,金额类,
财务摘要,FDMT_SUMMARY_CF,现金流量表摘要,现金流量表摘要,1,3,分组/标题,
财务摘要,CFrSaleGS,销售商品、提供劳务收到的现金,销售商品、提供劳务收到的现金,2,0,金额类,
财务摘要,NCFOperateANotes,经营活动现金净流量,经营活动现金净流量,2,0,金额类,
财务摘要,purFixAssetsOth,购建固定资产、无形资产和其他长期资产支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,2,0,金额类,
财务摘要,CPaidInvest,投资支付的现金,投资支付的现金,2,0,金额类,
财务摘要,NCFFrInvestA,投资活动产生的现金流量净额,投资活动产生的现金流量净额,2,0,金额类,
财务摘要,CFrCapContr,吸收投资收到的现金,吸收投资收到的现金,2,0,金额类,
财务摘要,CFrBorr,取得借款收到的现金,取得借款收到的现金,2,0,金额类,
财务摘要,NCFFrFinanA,筹资活动产生的现金流量净额,筹资活动产生的现金流量净额,2,0,金额类,
财务摘要,NChangeInCash,现金及现金等价物净增加额,现金及现金等价物净增加额,2,0,金额类,
财务摘要,NCEEndBal,期末现金及现金等价物余额,期末现金及现金等价物余额,2,0,金额类,
财务摘要,DA,折旧与摊销,折旧与摊销,2,0,金额类,
财务摘要,FDMT_SUMMARY_MAIN,主要财务指标,主要财务指标,1,3,分组/标题,
财务摘要,grossMARgin,销售毛利率,销售毛利率,2,1,比例类,
财务摘要,sellExpTR,销售费用/营业总收入,销售费用/营业总收入,2,1,比例类,
财务摘要,adminExpTR,管理费用/营业总收入,管理费用/营业总收入,2,1,比例类,
财务摘要,finanExpTR,财务费用/营业总收入,财务费用/营业总收入,2,1,比例类,
财务摘要,rDExpTR,研发费用/营业总收入,研发费用/营业总收入,2,1,比例类,
财务摘要,operateProfitRatio,营业利润/营业总收入,营业利润/营业总收入,2,1,比例类,
财务摘要,EBITMARgin,息税前利润/营业总收入,息税前利润/营业总收入,2,1,比例类,
财务摘要,EBITDAMARgin,息税折旧摊销前利润/营业总收入,息税折旧摊销前利润/营业总收入,2,1,比例类,
财务摘要,itTp,所得税/利润总额,所得税/利润总额,2,1,比例类,
财务摘要,npMARgin,销售净利率,销售净利率,2,1,比例类,
财务摘要,CFsgsR,销售商品提供劳务收到的现金/营业收入,销售商品提供劳务收到的现金/营业收入,2,1,比例类,
财务摘要,ROE,净资产收益率-摊薄,净资产收益率-摊薄,2,1,比例类,
财务摘要,ROEW,净资产收益率-加权平均,净资产收益率-加权平均,2,1,比例类,
财务摘要,ROA,总资产报酬率,总资产报酬率,2,1,比例类,
财务摘要,ROIC,投入资本回报率,投入资本回报率,2,1,比例类,
财务摘要,asseTLiabRatio,资产负债率,资产负债率,2,1,比例类,
财务摘要,equityRatio,产权比率(负债合计/所有者权益),产权比率(负债合计/所有者权益),2,3,分组/标题,
财务摘要,taTurnover,总资产周转率(次),总资产周转率(次),2,4,周转/次数类,
财务摘要,ARTurnover,应收账款周转率(次),应收账款周转率(次),2,4,周转/次数类,
财务摘要,invenTurnover,存货周转率(次),存货周转率(次),2,4,周转/次数类,
财务摘要,currentRatio,流动比率,流动比率,2,3,分组/标题,
财务摘要,quickRatio,速动比率,速动比率,2,3,分组/标题,
财务摘要,basicEPS,每股收益-基本,每股收益-基本,2,2,每股类,
财务摘要,dilutedEPS,每股收益-稀释,每股收益-稀释,2,2,每股类,
财务摘要,EPS,每股收益-期末股本摊薄,每股收益-期末股本摊薄,2,2,每股类,
财务摘要,divRatio,股息率,股息率,2,1,比例类,
财务摘要,nAssetsPS,每股净资产,每股净资产,2,2,每股类,
财务摘要,nCInCashPS,每股现金流,每股现金流,2,2,每股类,
资产负债表,ASSETS,资产,资产,1,3,分组/标题,
资产负债表,cashCEquiv,货币资金,货币资金,2,0,金额类,
资产负债表,settProv,结算备付金,结算备付金,2,0,金额类,
资产负债表,loanToBankFi,拆出资金,拆出资金,2,0,金额类,
资产负债表,tradingFa,交易性金融资产,交易性金融资产,2,0,金额类,
资产负债表,derivAssets,衍生金融资产,衍生金融资产,2,0,金额类,
资产负债表,nrAr,应收票据及应收账款,应收票据及应收账款,2,0,金额类,
资产负债表,notes/R,应收票据及应收账款:应收票据,  应收票据及应收账款:应收票据,2,0,金额类,
资产负债表,AR,应收票据及应收账款:应收账款,  应收票据及应收账款:应收账款,2,0,金额类,
资产负债表,finan/R,应收票据及应收账款:应收款项融资,  应收票据及应收账款:应收款项融资,2,0,金额类,
资产负债表,prepayment,预付款项,预付款项,2,0,金额类,
资产负债表,premium/R,应收保费,应收保费,2,0,金额类,
资产负债表,reinsur/R,应收分保账款,应收分保账款,2,0,金额类,
资产负债表,reinsurReser/R,应收分保合同准备金,应收分保合同准备金,2,0,金额类,
资产负债表,oth/RT,其他应收款(合计),其他应收款(合计),2,0,金额类,
资产负债表,int/R,其他应收款(合计):应收利息,  其他应收款(合计):应收利息,2,0,金额类,
资产负债表,div/R,其他应收款(合计):应收股利,  其他应收款(合计):应收股利,2,0,金额类,
资产负债表,oth/R,其他应收款(合计):其他应收款,  其他应收款(合计):其他应收款,2,0,金额类,
资产负债表,purResaleFa,买入返售金融资产,买入返售金融资产,2,0,金额类,
资产负债表,inventories,存货,存货,2,0,金额类,
资产负债表,contAssets,合同资产,合同资产,2,0,金额类,
资产负债表,assetsHFSale,持有待售资产,持有待售资产,2,0,金额类,
资产负债表,ncaWithin1Y,一年内到期的非流动资产,一年内到期的非流动资产,2,0,金额类,
资产负债表,othCa,其他流动资产,其他流动资产,2,0,金额类,
资产负债表,CAE,流动资产的特殊项目,流动资产的特殊项目,2,0,金额类,
资产负债表,CAA,流动资产的差错金额,流动资产的差错金额,2,0,金额类,
资产负债表,tCa,流动资产合计,流动资产合计,2,0,金额类,
资产负债表,disburLa,发放委托贷款及垫款,发放委托贷款及垫款,2,0,金额类,
资产负债表,tradOthCompreFa,以公允价值计量且其变动计入其他综合收益的金融资产,以公允价值计量且其变动计入其他综合收益的金融资产,2,0,金额类,
资产负债表,tradAmortizeFa,以摊余成本计量的金融资产,以摊余成本计量的金融资产,2,0,金额类,
资产负债表,availFSaleFa,可供出售金融资产,可供出售金融资产,2,0,金额类,
资产负债表,htmInvest,持有至到期投资,持有至到期投资,2,0,金额类,
资产负债表,debtInvest,债权投资,债权投资,2,0,金额类,
资产负债表,othDebtInvest,其他债权投资,其他债权投资,2,0,金额类,
资产负债表,lt/R,长期应收款,长期应收款,2,0,金额类,
资产负债表,ltEquityInvest,长期股权投资,长期股权投资,2,0,金额类,
资产负债表,othEquityInvest,其他权益工具投资,其他权益工具投资,2,0,金额类,
资产负债表,assetsNc,其他非流动金融资产,其他非流动金融资产,2,0,金额类,
资产负债表,invRealEstate,投资性房地产,投资性房地产,2,0,金额类,
资产负债表,fixAssetsT,固定资产(合计),固定资产(合计),2,0,金额类,
资产负债表,fixedAssets,固定资产(合计):固定资产,  固定资产(合计):固定资产,2,0,金额类,
资产负债表,fixAssetsD,固定资产(合计):固定资产清理,  固定资产(合计):固定资产清理,2,0,金额类,
资产负债表,cipTotal,在建工程(合计),在建工程(合计),2,0,金额类,
资产负债表,CIP,在建工程(合计):在建工程,  在建工程(合计):在建工程,2,0,金额类,
资产负债表,constMaterials,在建工程(合计):工程物资,  在建工程(合计):工程物资,2,0,金额类,
资产负债表,prodBiolAssets,生产性生物资产,生产性生物资产,2,0,金额类,
资产负债表,cwBiolAssets,公益性生物资产,公益性生物资产,2,0,金额类,
资产负债表,oilGasAssets,油气资产,油气资产,2,0,金额类,
资产负债表,usageAssets,使用权资产,使用权资产,2,0,金额类,
资产负债表,intanAssets,无形资产,无形资产,2,0,金额类,
资产负债表,RD,研发支出,研发支出,2,0,金额类,
资产负债表,goodwill,商誉,商誉,2,0,金额类,
资产负债表,ltAmorExp,长期待摊费用,长期待摊费用,2,0,金额类,
资产负债表,DTA,递延所得税资产,递延所得税资产,2,0,金额类,
资产负债表,othNca,其他非流动资产,其他非流动资产,2,0,金额类,
资产负债表,NCAE,非流动资产的特殊项目,非流动资产的特殊项目,2,0,金额类,
资产负债表,NCAA,非流动资产的差错金额,非流动资产的差错金额,2,0,金额类,
资产负债表,tNca,非流动资产合计,非流动资产合计,2,0,金额类,
资产负债表,AE,资产的特殊项目,资产的特殊项目,2,0,金额类,
资产负债表,AA,资产的差错金额,资产的差错金额,2,0,金额类,
资产负债表,tAssets,资产总计,资产总计,2,0,金额类,
资产负债表,LIAB,负债,负债,1,3,分组/标题,
资产负债表,stBorr,短期借款,短期借款,2,0,金额类,
资产负债表,cbBorr,向中央银行借款,向中央银行借款,2,0,金额类,
资产负债表,depos,吸收存款,吸收存款,2,0,金额类,
资产负债表,loanFrBankFi,拆入资金,拆入资金,2,0,金额类,
资产负债表,tradingFl,交易性金融负债,交易性金融负债,2,0,金额类,
资产负债表,derivLia,衍生金融负债,衍生金融负债,2,0,金额类,
资产负债表,npAp,应付票据及应付账款,应付票据及应付账款,2,0,金额类,
资产负债表,notes/P,应付票据及应付账款:应付票据,  应付票据及应付账款:应付票据,2,0,金额类,
资产负债表,AP,应付票据及应付账款:应付账款,  应付票据及应付账款:应付账款,2,0,金额类,
资产负债表,advReceipts,预收款项,预收款项,2,0,金额类,
资产负债表,soldFRepurFa,卖出回购金融资产款,卖出回购金融资产款,2,0,金额类,
资产负债表,commis/P,应付手续费及佣金,应付手续费及佣金,2,0,金额类,
资产负债表,contLia,合同负债,合同负债,2,0,金额类,
资产负债表,payroll/P,应付职工薪酬,应付职工薪酬,2,0,金额类,
资产负债表,tax/P,应交税费,应交税费,2,0,金额类,
资产负债表,oth/PT,其他应付款(合计),其他应付款(合计),2,0,金额类,
资产负债表,int/P,其他应付款(合计):应付利息,  其他应付款(合计):应付利息,2,0,金额类,
资产负债表,div/P,其他应付款(合计):应付股利,  其他应付款(合计):应付股利,2,0,金额类,
资产负债表,oth/P,其他应付款(合计):其他应付款,  其他应付款(合计):其他应付款,2,0,金额类,
资产负债表,reinsur/P,应付分保账款,应付分保账款,2,0,金额类,
资产负债表,fundSecTradAgen,代理买卖证券款,代理买卖证券款,2,0,金额类,
资产负债表,fundSecUndwAgen,代理承销证券款,代理承销证券款,2,0,金额类,
资产负债表,liaHFSale,持有待售负债,持有待售负债,2,0,金额类,
资产负债表,nclWithin1Y,一年内到期的非流动负债,一年内到期的非流动负债,2,0,金额类,
资产负债表,accruedExp,预提费用,预提费用,2,0,金额类,
资产负债表,othCl,其他流动负债,其他流动负债,2,0,金额类,
资产负债表,CLE,流动负债的特殊项目,流动负债的特殊项目,2,0,金额类,
资产负债表,CLA,流动负债的差错金额,流动负债的差错金额,2,0,金额类,
资产负债表,tCl,流动负债合计,流动负债合计,2,0,金额类,
资产负债表,insurReser,保险合同准备金,保险合同准备金,2,0,金额类,
资产负债表,ltBorr,长期借款,长期借款,2,0,金额类,
资产负债表,bond/P,应付债券,应付债券,2,0,金额类,
资产负债表,preferStockL,应付债券:优先股,  应付债券:优先股,2,0,金额类,
资产负债表,perpeBondL,应付债券:永续债,  应付债券:永续债,2,0,金额类,
资产负债表,leaseLiab,租赁负债,租赁负债,2,0,金额类,
资产负债表,lt/PT,长期应付款(合计),长期应付款(合计),2,0,金额类,
资产负债表,lt/P,长期应付款(合计):长期应付款,  长期应付款(合计):长期应付款,2,0,金额类,
资产负债表,specific/P,长期应付款(合计):专项应付款,  长期应付款(合计):专项应付款,2,0,金额类,
资产负债表,ltPayroll/P,长期应付职工薪酬,长期应付职工薪酬,2,0,金额类,
资产负债表,estimatLia,预计负债,预计负债,2,0,金额类,
资产负债表,deferRev,递延收益,递延收益,2,0,金额类,
资产负债表,DTL,递延所得税负债,递延所得税负债,2,0,金额类,
资产负债表,othNcl,其他非流动负债,其他非流动负债,2,0,金额类,
资产负债表,NCLE,非流动负债的特殊项目,非流动负债的特殊项目,2,0,金额类,
资产负债表,NCLA,非流动负债的差错金额,非流动负债的差错金额,2,0,金额类,
资产负债表,tNcl,非流动负债合计,非流动负债合计,2,0,金额类,
资产负债表,LE,负债的特殊项目,负债的特殊项目,2,0,金额类,
资产负债表,LA,负债的差错金额,负债的差错金额,2,0,金额类,
资产负债表,tLia,负债合计,负债合计,2,0,金额类,
资产负债表,SH_EQUITY,所有者权益(或股东权益),所有者权益(或股东权益),1,3,分组/标题,
资产负债表,paidInCapital,实收资本(或股本),实收资本(或股本),2,0,金额类,
资产负债表,othEquityInstr,其他权益工具,其他权益工具,2,0,金额类,
资产负债表,preferStockE,其他权益工具:优先股,  其他权益工具:优先股,2,0,金额类,
资产负债表,perpeBondE,其他权益工具:永续债,  其他权益工具:永续债,2,0,金额类,
资产负债表,capitalReser,资本公积,资本公积,2,0,金额类,
资产负债表,treasuryShare,减:库存股,减:库存股,2,0,金额类,
资产负债表,othCompreInc,其他综合收益,其他综合收益,2,0,金额类,
资产负债表,specialReser,专项储备,专项储备,2,0,金额类,
资产负债表,surplusReser,盈余公积,盈余公积,2,0,金额类,
资产负债表,ordiRiskReser,一般风险准备,一般风险准备,2,0,金额类,
资产负债表,retainEarnings,未分配利润,未分配利润,2,0,金额类,
资产负债表,forexDiffer,外币报表折算差额,外币报表折算差额,2,0,金额类,
