来源表,字段代码,字段名称,展示名称,层级,单位代码,单位说明,公式
资产负债表,SEE,归属于母公司所有者权益的特殊项目,归属于母公司所有者权益的特殊项目,2,0,金额类,
资产负债表,SEA,归属于母公司所有者权益的差错金额,归属于母公司所有者权益的差错金额,2,0,金额类,
资产负债表,tEquityAttrP,归属于母公司所有者权益合计,归属于母公司所有者权益合计,2,0,金额类,
资产负债表,minorityInt,少数股东权益,少数股东权益,2,0,金额类,
资产负债表,othEffectSe,所有者权益的特殊项目,所有者权益的特殊项目,2,0,金额类,
资产负债表,othEffectSa,所有者权益的差错金额,所有者权益的差错金额,2,0,金额类,
资产负债表,tShEquity,所有者权益合计,所有者权益合计,2,0,金额类,
资产负债表,LIAB_EQUITY,负债和所有者权益(或股东权益),负债和所有者权益(或股东权益),1,3,分组/标题,
资产负债表,LEE,负债和所有者权益的特殊项目,负债和所有者权益的特殊项目,2,0,金额类,
资产负债表,LEA,负债和所有者权益的差错金额,负债和所有者权益的差错金额,2,0,金额类,
资产负债表,tLiaEquity,负债和所有者权益总计,负债和所有者权益总计,2,0,金额类,
利润表,tRevenue,营业总收入,营业总收入,1,0,金额类,
利润表,revenue,营业收入,营业收入,2,0,金额类,
利润表,intIncome,利息收入,利息收入,2,0,金额类,
利润表,premEarned,已赚保费,已赚保费,2,0,金额类,
利润表,commisIncome,手续费及佣金收入,手续费及佣金收入,2,0,金额类,
利润表,specOr,营业收入的特殊项目,营业收入的特殊项目,2,0,金额类,
利润表,AOR,营业总收入的差错金额,营业总收入的差错金额,2,0,金额类,
利润表,tCogs,营业总成本,营业总成本,1,0,金额类,
利润表,COGS,营业成本,营业成本,2,0,金额类,
利润表,intExp,利息支出,利息支出,2,0,金额类,
利润表,commisExp,手续费及佣金支出,手续费及佣金支出,2,0,金额类,
利润表,premRefund,退保金,退保金,2,0,金额类,
利润表,nCompensPayout,赔付支出净额,赔付支出净额,2,0,金额类,
利润表,reserInsurContr,提取保险合同准备金净额,提取保险合同准备金净额,2,0,金额类,
利润表,policyDivPayt,保单红利支出,保单红利支出,2,0,金额类,
利润表,reinsurExp,分保费用,分保费用,2,0,金额类,
利润表,bizTaxSurchg,税金及附加,税金及附加,2,0,金额类,
利润表,sellExp,销售费用,销售费用,2,0,金额类,
利润表,adminExp,管理费用,管理费用,2,0,金额类,
利润表,rDExp,研发费用,研发费用,2,0,金额类,
利润表,finanExp,财务费用,财务费用,2,0,金额类,
利润表,intExpFinanExp,其中:利息费用,  其中:利息费用,2,0,金额类,
利润表,intIncomeFinanExp,其中:利息收入,  其中:利息收入,2,0,金额类,
利润表,specToc,营业总成本的特殊项目,营业总成本的特殊项目,2,0,金额类,
利润表,ATOC,营业总成本的差错金额,营业总成本的差错金额,2,0,金额类,
利润表,othGain,其他收益,其他收益,2,0,金额类,
利润表,investIncome,投资收益,投资收益,2,0,金额类,
利润表,aJInvestIncome,其中:对联营企业和合营企业的投资收益,  其中:对联营企业和合营企业的投资收益,2,0,金额类,
利润表,tafQuitGain,以摊余成本计量的金融资产终止确认收益,  以摊余成本计量的金融资产终止确认收益,2,0,金额类,
利润表,netExpHIncome,净敞口套期收益,净敞口套期收益,2,0,金额类,
利润表,fValueChgGain,公允价值变动收益,公允价值变动收益,2,0,金额类,
利润表,assetsImpairLoss,资产减值损失,资产减值损失,2,0,金额类,
利润表,creditImpairLoss,信用减值损失,信用减值损失,2,0,金额类,
利润表,assetsDispGain,资产处置收益,资产处置收益,2,0,金额类,
利润表,forexGain,汇兑收益,汇兑收益,2,0,金额类,
利润表,othEffectOp,影响营业利润的特殊项目,影响营业利润的特殊项目,2,0,金额类,
利润表,aeEffectOp,影响营业利润的差错金额,影响营业利润的差错金额,2,0,金额类,
利润表,operateProfit,营业利润,营业利润,1,0,金额类,
利润表,noperateIncome,营业外收入,营业外收入,2,0,金额类,
利润表,noperateExp,营业外支出,营业外支出,2,0,金额类,
利润表,ncaDisploss,其中:非流动资产处置损失,  其中:非流动资产处置损失,2,0,金额类,
利润表,othEffectTp,影响利润总额的特殊项目,影响利润总额的特殊项目,2,0,金额类,
利润表,aeEffectTp,影响利润总额的差错金额,影响利润总额的差错金额,2,0,金额类,
利润表,tProfit,利润总额,利润总额,1,0,金额类,
利润表,incomeTax,所得税费用,所得税费用,2,0,金额类,
利润表,othEffectNp,影响净利润的特殊项目,影响净利润的特殊项目,2,0,金额类,
利润表,aeEffectNp,影响净利润的差错金额,影响净利润的差错金额,2,0,金额类,
利润表,nIncome,净利润,净利润,1,0,金额类,
利润表,nIncomeBma,其中:被合并方在合并前实现的净利润,其中:被合并方在合并前实现的净利润,2,0,金额类,
利润表,nIncomeAttrP,归属于母公司所有者的净利润,归属于母公司所有者的净利润,2,0,金额类,
利润表,minorityGain,少数股东损益,少数股东损益,2,0,金额类,
利润表,goingConcernNi,持续经营净利润,持续经营净利润,2,0,金额类,
利润表,quitConcernNi,终止经营净利润,终止经营净利润,2,0,金额类,
利润表,othEffectNpp,影响净利润分配的特殊项目,影响净利润分配的特殊项目,2,0,金额类,
利润表,aeEffectNpp,影响净利润分配的差错金额,影响净利润分配的差错金额,2,0,金额类,
利润表,EPS,每股收益,每股收益,1,3,分组/标题,
利润表,basicEps,每股收益-基本,每股收益-基本,2,2,每股类,
利润表,dilutedEps,每股收益-稀释,每股收益-稀释,2,2,每股类,
利润表,othComprIncome,其他综合收益,其他综合收益,1,0,金额类,
利润表,othEffectCi,影响综合收益总额的特殊项目,影响综合收益总额的特殊项目,2,0,金额类,
利润表,aeEffectCi,影响综合收益总额的差错金额,影响综合收益总额的差错金额,2,0,金额类,
利润表,tComprIncome,综合收益总额,综合收益总额,1,0,金额类,
利润表,comprIncAttrP,归属于母公司所有者的综合收益总额,归属于母公司所有者的综合收益总额,2,0,金额类,
利润表,comprIncAttrMS,归属于少数股东的综合收益总额,归属于少数股东的综合收益总额,2,0,金额类,
利润表,othEffectPci,影响综合收益总额分配的特殊项目,影响综合收益总额分配的特殊项目,2,0,金额类,
利润表,aeEffectPci,影响综合收益总额分配的差错金额,影响综合收益总额分配的差错金额,2,0,金额类,
现金流量表,CF_OPERATE_A,经营活动产生的现金流量,经营活动产生的现金流量,1,3,分组/标题,
现金流量表,CFrSaleGS,销售商品、提供劳务收到的现金,销售商品、提供劳务收到的现金,2,0,金额类,
现金流量表,NDeposIncrCFI,客户存款和同业存放款项净增加额,客户存款和同业存放款项净增加额,2,0,金额类,
现金流量表,NIncrBorrFrCB,向中央银行借款净增加额,向中央银行借款净增加额,2,0,金额类,
现金流量表,NIncBorrOthFI,向其他金融机构拆入资金净增加额,向其他金融机构拆入资金净增加额,2,0,金额类,
现金流量表,premFrOrigContr,收到原保险合同保费取得的现金,收到原保险合同保费取得的现金,2,0,金额类,
现金流量表,NReinsurPrem,收到再保险业务现金净额,收到再保险业务现金净额,2,0,金额类,
现金流量表,NIncPhDeposInv,保户储金及投资款净增加额,保户储金及投资款净增加额,2,0,金额类,
现金流量表,NIncDispTradFA,处置交易性金融资产净增加额,处置交易性金融资产净增加额,2,0,金额类,
现金流量表,IFCCashIncr,收取利息、手续费及佣金的现金,收取利息、手续费及佣金的现金,2,0,金额类,
现金流量表,NIncFrBorr,拆入资金净增加额,拆入资金净增加额,2,0,金额类,
现金流量表,NCApIncrRepur,回购业务资金净增加额,回购业务资金净增加额,2,0,金额类,
现金流量表,refundOfTax,收到的税费返还,收到的税费返还,2,0,金额类,
现金流量表,CFrOthOperateA,收到其他与经营活动有关的现金,收到其他与经营活动有关的现金,2,0,金额类,
现金流量表,specOCIF,经营活动现金流入的特殊项目,经营活动现金流入的特殊项目,2,0,金额类,
现金流量表,AOCIF,经营活动现金流入的差错金额,经营活动现金流入的差错金额,2,0,金额类,
现金流量表,CInfFrOperateA,经营活动现金流入小计,经营活动现金流入小计,2,0,金额类,
现金流量表,CPaidGS,购买商品、接受劳务支付的现金,购买商品、接受劳务支付的现金,2,0,金额类,
现金流量表,NIncDisburOfLA,客户贷款及垫款净增加额,客户贷款及垫款净增加额,2,0,金额类,
现金流量表,NIncrDeposInFI,存放中央银行和同业款项净增加额,存放中央银行和同业款项净增加额,2,0,金额类,
现金流量表,origContrCIndem,支付原保险合同赔付款项的现金,支付原保险合同赔付款项的现金,2,0,金额类,
现金流量表,CPaidIFC,支付利息、手续费及佣金的现金,支付利息、手续费及佣金的现金,2,0,金额类,
现金流量表,CPaidPolDiv,支付保单红利的现金,支付保单红利的现金,2,0,金额类,
现金流量表,CPaidToForEmpl,支付给职工以及为职工支付的现金,支付给职工以及为职工支付的现金,2,0,金额类,
现金流量表,CPaidForTaxes,支付的各项税费,支付的各项税费,2,0,金额类,
现金流量表,CPaidForOthOpA,支付其他与经营活动有关的现金,支付其他与经营活动有关的现金,2,0,金额类,
现金流量表,specOCOF,经营活动现金流出的特殊项目,经营活动现金流出的特殊项目,2,0,金额类,
现金流量表,AOCOF,经营活动现金流出的差错金额,经营活动现金流出的差错金额,2,0,金额类,
现金流量表,COutfOperateA,经营活动现金流出小计,经营活动现金流出小计,2,0,金额类,
现金流量表,ANOCF,经营活动现金流量净额的差错金额,经营活动现金流量净额的差错金额,2,0,金额类,
现金流量表,NCFOperateA,经营活动产生的现金流量净额,经营活动产生的现金流量净额,2,0,金额类,
现金流量表,CF_FR_INVEST_A,投资活动产生的现金流量,投资活动产生的现金流量,1,3,分组/标题,
现金流量表,procSellInvest,收回投资收到的现金,收回投资收到的现金,2,0,金额类,
现金流量表,gainInvest,取得投资收益收到的现金,取得投资收益收到的现金,2,0,金额类,
现金流量表,dispFixAssetsOth,处置固定资产、无形资产和其他长期资产收回的现金净额,处置固定资产、无形资产和其他长期资产收回的现金净额,2,0,金额类,
现金流量表,NDispSubsOthBizC,处置子公司及其他营业单位收到的现金净额,处置子公司及其他营业单位收到的现金净额,2,0,金额类,
现金流量表,CFrOthInvestA,收到其他与投资活动有关的现金,收到其他与投资活动有关的现金,2,0,金额类,
现金流量表,specCIF,投资活动现金流入的特殊项目,投资活动现金流入的特殊项目,2,0,金额类,
现金流量表,ACIF,投资活动现金流入的差错金额,投资活动现金流入的差错金额,2,0,金额类,
现金流量表,CInfFrInvestA,投资活动现金流入小计,投资活动现金流入小计,2,0,金额类,
现金流量表,purFixAssetsOth,购建固定资产、无形资产和其他长期资产支付的现金,购建固定资产、无形资产和其他长期资产支付的现金,2,0,金额类,
现金流量表,CPaidInvest,投资支付的现金,投资支付的现金,2,0,金额类,
现金流量表,NIncrPledgeLoan,质押贷款净增加额,质押贷款净增加额,2,0,金额类,
现金流量表,NCPaidAcquis,取得子公司及其他营业单位支付的现金净额,取得子公司及其他营业单位支付的现金净额,2,0,金额类,
现金流量表,CPaidOthInvestA,支付其他与投资活动有关的现金,支付其他与投资活动有关的现金,2,0,金额类,
现金流量表,specCOF,投资活动现金流出的特殊项目,投资活动现金流出的特殊项目,2,0,金额类,
现金流量表,ACOF,投资活动现金流出的差错金额,投资活动现金流出的差错金额,2,0,金额类,
现金流量表,COutfFrInvestA,投资活动现金流出小计,投资活动现金流出小计,2,0,金额类,
现金流量表,ANICF,投资活动现金流量净额的差错金额,投资活动现金流量净额的差错金额,2,0,金额类,
现金流量表,NCFFrInvestA,投资活动产生的现金流量净额,投资活动产生的现金流量净额,2,0,金额类,
现金流量表,CF_FR_FINAN_A,筹资活动产生的现金流量,筹资活动产生的现金流量,1,3,分组/标题,
现金流量表,CFrCapContr,吸收投资收到的现金,吸收投资收到的现金,2,0,金额类,
现金流量表,CFrMinoSSubs,其中:子公司吸收少数股东投资收到的现金,  其中:子公司吸收少数股东投资收到的现金,2,0,金额类,
现金流量表,CFrBorr,取得借款收到的现金,取得借款收到的现金,2,0,金额类,
现金流量表,CFrIssueBond,发行债券收到的现金,发行债券收到的现金,2,0,金额类,
现金流量表,CFrOthFinanA,收到其他与筹资活动有关的现金,收到其他与筹资活动有关的现金,2,0,金额类,
现金流量表,specFCIF,筹资活动现金流入的特殊项目,筹资活动现金流入的特殊项目,2,0,金额类,
现金流量表,AFCIF,筹资活动现金流入的差错金额,筹资活动现金流入的差错金额,2,0,金额类,
现金流量表,CInfFrFinanA,筹资活动现金流入小计,筹资活动现金流入小计,2,0,金额类,
现金流量表,CPaidForDebts,偿还债务支付的现金,偿还债务支付的现金,2,0,金额类,
现金流量表,CPaidDivProfInt,分配股利、利润或偿付利息支付的现金,分配股利、利润或偿付利息支付的现金,2,0,金额类,
现金流量表,divProfSubsMinoS,其中:子公司支付给少数股东的股利、利润,  其中:子公司支付给少数股东的股利、利润,2,0,金额类,
现金流量表,CPaidOthFinanA,支付其他与筹资活动有关的现金,支付其他与筹资活动有关的现金,2,0,金额类,
现金流量表,specFCOF,筹资活动现金流出的特殊项目,筹资活动现金流出的特殊项目,2,0,金额类,
现金流量表,AFCOF,筹资活动现金流出的差错金额,筹资活动现金流出的差错金额,2,0,金额类,
现金流量表,COutfFrFinanA,筹资活动现金流出小计,筹资活动现金流出小计,2,0,金额类,
现金流量表,ANFCF,筹资活动现金流量净额的差错金额,筹资活动现金流量净额的差错金额,2,0,金额类,
现金流量表,NCFFrFinanA,筹资活动产生的现金流量净额,筹资活动产生的现金流量净额,2,0,金额类,
现金流量表,FOREX_EFFECTS,汇率变动对现金及现金等价物的影响,汇率变动对现金及现金等价物的影响,1,3,分组/标题,
现金流量表,forexEffects,汇率变动对现金及现金等价物的影响,汇率变动对现金及现金等价物的影响,2,0,金额类,
现金流量表,othEffectCE,影响现金及现金等价物的特殊项目,影响现金及现金等价物的特殊项目,2,0,金额类,
现金流量表,ACE,现金及现金等价物的差错金额,现金及现金等价物的差错金额,2,0,金额类,
现金流量表,CASH,现金及现金等价物,现金及现金等价物,1,3,分组/标题,
现金流量表,NChangeInCash,现金及现金等价物净增加额,现金及现金等价物净增加额,2,0,金额类,
现金流量表,NCEBegBal,加:期初现金及现金等价物余额,加:期初现金及现金等价物余额,2,0,金额类,
现金流量表,othEffectCEI,影响期末现金及现金等价物余额的特殊项目,影响期末现金及现金等价物余额的特殊项目,2,0,金额类,
现金流量表,ACEI,期末现金及现金等价物余额的差错金额,期末现金及现金等价物余额的差错金额,2,0,金额类,
现金流量表,NCEEndBal,期末现金及现金等价物余额,期末现金及现金等价物余额,2,0,金额类,
关键指标,FDMT_INDIC_PS,每股指标,每股指标,1,3,分组/标题,
关键指标,basicEps,每股收益-基本,每股收益-基本,2,2,每股类,
关键指标,dilutedEps,每股收益-稀释,每股收益-稀释,2,2,每股类,
关键指标,basicEpsCut,每股收益-扣除/基本,每股收益-扣除/基本,2,2,每股类,
关键指标,dilutedEpsCut,每股收益-扣除/稀释,每股收益-扣除/稀释,2,2,每股类,
关键指标,eps,每股收益-期末股本摊薄,每股收益-期末股本摊薄,2,2,每股类,
关键指标,epsCut,每股收益-扣除/期末股本摊薄,每股收益-扣除/期末股本摊薄,2,2,每股类,
关键指标,nAssetPs,每股净资产,每股净资产,2,2,每股类,
关键指标,tRevPs,每股营业总收入,每股营业总收入,2,2,每股类,
关键指标,revPs,每股营业收入,每股营业收入,2,2,每股类,
关键指标,opPs,每股营业利润,每股营业利润,2,2,每股类,
关键指标,ebitPs,每股息税前利润,每股息税前利润,2,2,每股类,
关键指标,ebitdaPs,每股EBITDA,每股EBITDA,2,2,每股类,
关键指标,rePs,每股未分配利润,每股未分配利润,2,2,每股类,
关键指标,tRePs,每股留存收益,每股留存收益,2,2,每股类,
关键指标,nCFOperAPs,每股经营活动产生的现金流量净额,每股经营活动产生的现金流量净额,2,2,每股类,
关键指标,nCInCashPs,每股现金流量净额,每股现金流量净额,2,2,每股类,
关键指标,fcffPs,每股企业自由现金流量,每股企业自由现金流量,2,2,每股类,
关键指标,fcfePs,每股股东自由现金流量,每股股东自由现金流量,2,2,每股类,
关键指标,cReserPs,每股资本公积,每股资本公积,2,2,每股类,
关键指标,sReserPs,每股盈余公积,每股盈余公积,2,2,每股类,
关键指标,reserPs,每股公积金,每股公积金,2,2,每股类,
主营构成,mainOperIncome,营业总收入,营业总收入,0,,,
主营构成,mainOperCost,营业成本,营业成本,0,,,
主营构成,grossProfitRate,毛利率,毛利率,0,,,
主营构成,grossProfit,毛利,毛利,0,,,
